zip codes within 20.0 miles:
     20814 Bethesda, MD 9.01 
     20815 Chevy Chase, MD 7.23 
     20816 Bethesda, MD 7.69 
     20817 Bethesda, MD 10.15 
     20818 Cabin John, MD 10.36 
     20830 Olney, MD 17.97 
     20832 Olney, MD 18.08 
     20833 Brookeville, MD 19.77 
     20850 Rockville, MD 16.41 
     20851 Rockville, MD 14.00 
     20852 Rockville, MD 12.49 
     20853 Rockville, MD 13.97 
     20854 Potomac, MD 14.51 
     20855 Derwood, MD 18.02 
     20860 Sandy Spring, MD 17.49 
     20861 Ashton, MD 17.02 
     20862 Brinklow, MD 19.54 
     20866 Burtonsville, MD 13.83 
     20868 Spencerville, MD 15.62 
     20877 Gaithersburg, MD 19.47 
     20878 Gaithersburg, MD 19.85 
     20880 Washington Grove, MD 19.18 
     20892 Bethesda, MD 9.20 
     20895 Kensington, MD 9.83 
     20896 Garrett Park, MD 10.71 
     20901 Silver Spring, MD 8.26 
     20902 Silver Spring, MD 10.08 
     20903 Silver Spring, MD 7.76 
     20904 Silver Spring, MD 11.57 
     20905 Silver Spring, MD 14.00 
     20906 Silver Spring, MD 12.75 
     20910 Silver Spring, MD 7.16 
     20912 Takoma Park, MD 5.59 
     20913 Takoma Park, MD 7.70 
     21035 Davidsonville, MD 18.30 
     21054 Gambrills, MD 19.05 
     21113 Odenton, MD 19.51 
     21114 Crofton, MD 18.08 
     22003 Annandale, VA 12.96 
     22009 Burke, VA 16.72 
     22015 Burke, VA 17.34 
     22027 Dunn Loring, VA 12.31 
     22030 Fairfax, VA 18.51 
     22031 Fairfax, VA 14.84 
     22032 Fairfax, VA 17.15 
     22034 Fairfax, VA 16.72 
     22036 Fairfax, VA 12.46 
     22037 Fairfax, VA 16.72 
     22038 Fairfax, VA 17.06 
     22040 Falls Church, VA 9.79 
     22041 Falls Church, VA 8.84 
     22042 Falls Church, VA 10.89 
     22043 Falls Church, VA 11.11 
     22044 Falls Church, VA 9.20 
     22046 Falls Church, VA 10.27 
     22047 Falls Church, VA 16.72 
     22060 Fort Belvoir, VA 16.09 
     22066 Great Falls, VA 18.11 
     22067 Greenway, VA 13.71 
     22079 Lorton, VA 18.17 
     22081 Merrifield, VA 13.23 
     22082 Merrifield, VA 16.72 
     22092 Herndon, VA 16.72 
     22095 Herndon, VA 16.72 
     22096 Reston, VA 16.72 
     22101 McLean, VA 9.73 
     22102 McLean, VA 12.67 
     22103 West Mclean, VA 16.72 
     22106 McLean, VA 16.72 
     22109 McLean, VA 12.86 
     22116 Merrifield, VA 13.25 
     22118 Merrifield, VA 16.72 
     22119 Merrifield, VA 16.72 
     22120 Merrifield, VA 16.72 
     22122 Newington, VA 16.72 
     22124 Oakton, VA 17.93 
     22150 Springfield, VA 13.51 
     22151 Springfield, VA 13.50 
     22152 Springfield, VA 15.59 
     22153 Springfield, VA 17.03 
     22156 Springfield, VA 16.72 
     22158 Springfield, VA 16.72 
     22159 Springfield, VA 16.72 
     22160 Springfield, VA 16.72 
     22161 Springfield, VA 13.90 
     22180 Vienna, VA 14.11 
     22181 Vienna, VA 16.13 
     22182 Vienna, VA 14.34 
     22183 Vienna, VA 16.72 
     22184 Vienna, VA 16.72 
     22185 Vienna, VA 16.72 
     22199 Lorton, VA 16.72 
     22201 Arlington, VA 5.71 
     22202 Arlington, VA 4.69 
     22203 Arlington, VA 6.90 
     22204 Arlington, VA 6.35 
     22205 Arlington, VA 8.12 
     22206 Arlington, VA 6.67 
     22207 Arlington, VA 7.34 
     22209 Arlington, VA 4.53 
     22210 Arlington, VA 6.71 
     22211 Ft Myer, VA 4.47 
     22212 Arlington, VA 6.71 
     22213 Arlington, VA 9.31 
     22214 Arlington, VA 6.71 
     22215 Arlington, VA 6.71 
     22216 Arlington, VA 6.71 
     22217 Arlington, VA 6.71 
     22218 Arlington, VA 6.71 
     22219 Arlington, VA 6.71 
     22222 Arlington, VA 4.37 
     22223 Arlington, VA 6.71 
     22225 Arlington, VA 6.71 
     22226 Arlington, VA 6.14 
     22227 Arlington, VA 6.71 
     22229 Arlington, VA 6.71 
